update_count   point_num cluster_time   segmentation_time   match_time          total_time
189            2729      0.00786797     0.0113021           0.000164574         0.0198471
190            2504      0.00785215     0.0112849           0.0001643           0.0198134
191            2720      0.00784085     0.0112723           0.000164201         0.0197895
192            2512      0.00782941     0.0112596           0.000164029         0.0197652
193            2884      0.00783234     0.0112707           0.000164153         0.0197798
194            2847      0.00787354     0.011286            0.000164106         0.0198359
195            2687      0.00786605     0.0112803           0.000163966         0.0198222
196            2714      0.0078531      0.011271            0.00016389          0.0197993
197            2763      0.00793459     0.0112989           0.000163928         0.0199084
198            2561      0.00800907     0.0113378           0.000164066         0.0200221
199            2643      0.00803652     0.0113609           0.000164135         0.0200731
200            2538      0.00804748     0.011398            0.000164406         0.0201227
201            2499      0.00811289     0.0114543           0.00016451          0.0202448
202            2843      0.00820366     0.011501            0.000164641         0.0203831
